longitude,latitude
-2.218536,53.44297
-2.218455,53.443787
-2.218371,53.444124
-2.218216,53.444564
-2.218107,53.445005
-2.218122,53.445082
-2.21796,53.446049
-2.218134,53.446461
-2.219593,53.445986
-2.219866,53.445941
-2.220329,53.445826
-2.220563,53.445692
-2.221082,53.445556
-2.22154,53.445468
-2.221973,53.445307
-2.222136,53.445144
-2.221773,53.44513
-2.219801,53.444743
-2.219873,53.444521
-2.218881,53.4444
-2.219245,53.443293
-2.218515,53.443213
-2.218536,53.44297
